Day,Month,Year,Wake Up Time,Bedtime,Hours of Sleep,Mood,Eating Healthy,Hours of Work,Read?,Skincare?,See friends?,Learned something?,Craft?,Exercise?,Where was I?
15,August,2023,12,28,8,7,:/,3.5,yes,yes,yes,yes,yes,yes,Home
16,August,2023,9.3,27,6.5,10,:(,2,yes,yes,yes,yes,yes,yes,Home
17,August,2023,10.3,26,8.5,8,:),3.5,yes,yes,yes,yes,yes,no,Home
18,August,2023,10,27,7,10,:),0,no,no,yes,yes,yes,yes,Holiday with Issy
19,August,2023,8.3,23,9.5,10,:/,0,yes,yes,yes,yes,yes,yes,Holiday with Issy
20,August,2023,15,28,11,7,:(,0,yes,yes,yes,yes,no,no,Home
21,August,2023,12,27,9,6,:),5,yes,no,no,yes,yes,no,Home
22,August,2023,14,28,10,7,:(,5,yes,yes,no,yes,yes,no,Home
23,August,2023,12,3,9,8,:),2,yes,yes,yes,yes,yes,no,Home
24,August,2023,14,4,10,8,:),0,yes,yes,yes,yes,yes,no,Home
25,August,2023,7,3,4,10,:),0,no,yes,yes,yes,no,yes,Greece Holiday
26,August,2023,9,5,4,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
27,August,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
28,August,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
29,August,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
30,August,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
31,August,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
1,September,2023,11,2,9,10,:),0,yes,yes,yes,yes,no,yes,Greece Holiday
2,September,2023,11.5,2,9.5,8,:),0,no,yes,no,no,yes,no,Home
3,September,2023,5,1,4,10,:(,0,yes,yes,yes,yes,no,yes,Milan
4,September,2023,9.5,1,8.5,10,:/,3,yes,yes,yes,yes,no,yes,Milan
5,September,2023,11.5,2,9.5,7,:/,0,no,yes,no,no,yes,no,Home
6,September,2023,14,3,11,7,:/,2,no,yes,no,yes,yes,no,Home
7,September,2023,12,2,10,7,:/,4.5,no,no,no,yes,yes,no,Home
8,September,2023,12,3,9,9,:/,1,no,,yes,yes,yes,yes,Home
9,September,2023,,,,,,,,,,,,,
10,September,2023,,,,,,,,,,,,,
11,September,2023,,,,,,,,,,,,,
12,September,2023,,,,,,,,,,,,,
13,September,2023,,,,,,,,,,,,,
14,September,2023,,,,,,,,,,,,,
15,September,2023,,,,,,,,,,,,,
16,September,2023,,,,,,,,,,,,,
17,September,2023,,,,,,,,,,,,,
18,September,2023,,,,,,,,,,,,,
19,September,2023,,,,,,,,,,,,,
20,September,2023,,,,,,,,,,,,,
21,September,2023,,,,,,,,,,,,,
22,September,,,,,,,,,,,,,,
23,September,,,,,,,,,,,,,,
24,September,,,,,,,,,,,,,,
25,September,,,,,,,,,,,,,,
26,September,,,,,,,,,,,,,,